Nivelcurso;Campus;Unidade;OrgCo[DivDec];OrgCo[ImplDec];OrgCo[RepOrgCol];AvaliaSetores[PROAE];AvaliaSetores[PROPP];AvaliaSetores[PRGRA];AvaliaSetores[PROEX];AvaliaSetores[PRCUL];AvaliaSetores[PROINOV];AvaliaSetores[DRI];AvaliaSetores[DIAAF];AvaliaSetores[COORD];AvaliaSetores[OUVID];AvaliaSetores[CATEND];EstReg;RAGRI;CPA;AplRF[DAtEn];AplRF[DAtPe];AplRF[DAtEx];AplRF[DAtInov];AplRF[AqEqi];AplRF[MAREF];AplRF[BProj];AplRF[BMoTP];AplRF[CAVS];TrInv;Qaberta
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICB – Instituto de Ciências Biológicas;Concordo;Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICH – Instituto de Ciências Humanas;Não concordo nem discordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - Polos de EaD;CEAD - Centro de Educação a Distância;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;NADA A DECLARAR
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICE – Instituto de Ciências Exatas;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo totalmente;Discordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Discordo;
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;ICV - Instituto de Ciências da Vida (Governador Valadares);Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;"Anseio pelo dia que não necessitaremos de deslocar para outro local durante o dia.  O gasto e o risco de acidente são incontáveis. 
O RU centro precisa de melhorar a estrutura. 

A faculdade deveria ter um contrato com o estacionamento da Nux Park, porque é inconcebível não ter lugar pra estacionar no campus centro e ter que pagar uma fortuna de estacionamento do shopping.  

Estacionamento no RU centro também é válido! E tem espaço para fazê-lo."
Pós-graduação (lato ou stricto sensu);UFJF - Polos de EaD;CEAD - Centro de Educação a Distância;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Outra;Concordo;Concordo totalmente;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;
Pós-graduação (lato ou stricto sensu);UFJF - campus Governador Valadares;ICV - Instituto de Ciências da Vida (Governador Valadares);Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICE – Instituto de Ciências Exatas;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo totalmente;Concordo;Discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Discordo totalmente;Discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;
Pós-graduação (lato ou stricto sensu);UFJF - Polos de EaD;Faculdade de Educação Física;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Engenharia;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;"Considero que o RAG da instituição é deficiente. No regimento são previstas várias concessões a alunos que por ventura tenham problema de saúde ou gravidez, com flexibilização das atividades acadêmicas e abonos de faltas. Mas, para alunos que trabalham, não existe nenhuma consideração relacionada a trabalhos em regimes de escala. O aluno fica a mercê da boa vontade do professor. A universidade pública já evoluiu muito com relação a inclusão social, mas infelizmente parece que a universidade não se importa com alunos que trabalham, dando a entender que essas pessoas não tem o direito constitucional de acesso à educação. Deixo esse relato porque trabalho na Petrobras, em regime de embarque, e tenho que ficar algumas vezes ""mendigando"" aos professores a reposição de prova / aulas em virtude da natureza singular da minha profissão, que além de ser ""meu ganha pão"" representa também um papel social tão importante quanto ao da universidade. Acho que já passou da hora da universidade formalizar uma forma de integração dessas profissões que são executadas em regimes de escala. Afinal, a universidade é para todos ou não é?"
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Educação Física;Discordo;Concordo;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Concordo totalmente;Concordo;Discordo;Não concordo nem discordo;Discordo;Concordo totalmente;Não concordo nem discordo;Discordo;Concordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Administração e Ciências Contábeis;Concordo;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Concordo totalmente;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;ICV - Instituto de Ciências da Vida (Governador Valadares);Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;Não concordo nem discordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Farmácia;Concordo totalmente;Concordo;Não concordo nem discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Engenharia;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Não concordo nem discordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Direito;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;
Pós-graduação (lato ou stricto sensu);UFJF - campus Governador Valadares;ICV - Instituto de Ciências da Vida (Governador Valadares);Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;IAD – Instituto de Artes e Design;Discordo;Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Discordo totalmente;Não concordo nem discordo;Discordo;Discordo;Concordo;Concordo;Discordo totalmente;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo totalmente;Concordo;Concordo;Concordo;Concordo;Necessário aumentar os investimentos em extensão, para que possa haver aplicabilidade e retorno social dos resultados das pesquisas realizadas na Instituição, bem como aprimorar a gerência de recursos em infraestrutura, para garantir a manutenção e o aprimoramento dos espaços da Universidade.
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;ICSA - Instituto de Ciências Sociais Aplicadas (Governador Valadares);Concordo;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Direito;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICH – Instituto de Ciências Humanas;Concordo;Concordo;Discordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Discordo;Concordo totalmente;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Farmácia;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Concordo;Discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICH – Instituto de Ciências Humanas;Discordo;Discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;ICV - Instituto de Ciências da Vida (Governador Valadares);Discordo;Concordo;Discordo;Concordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Não sei / Não se aplica;A questão que discordo veemente é que para fazer a mudança dos currículos acadêmicos dos cursos não se consultou a opinião dos estudantes em nenhum momento. Se acaso foi discutida com os diretórios acadêmicos,  eles não passaram nada para nós. Por isso, achei nada inclusivo,  embora não siga essa grade, me importo com os estudantes que terão que seguir a partir de um processo feito sem a participação estudantil. Em relação ao ensino, atividades de extensão,  melhorias na infraestrutura, tenho muitos elogios a fazer. Essa parte só tem melhorado.
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Administração e Ciências Contábeis;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Discordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Engenharia;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;O RAG não contempla, atualmente, um adequado tratamento à alunos neurodivergentes e alunos afetados, até hoje, pela pandemia, no que se refere a ressocialização.
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;IAD – Instituto de Artes e Design;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Outra;Concordo;Discordo;Discordo;Concordo totalmente;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Discordo;Discordo totalmente;Não sei / Não se aplica;Discordo totalmente;Discordo;Discordo;Concordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo totalmente;Discordo totalmente;O curso de medicina veterinária, assim como diversos outros cursos está sucateado! os professores precisam usar recursos próprios para suprir a demanda do curso, a infraestrutura é extremamente precária, nos temos aula em um prédio com risco de desabamento, o que é um absurdo! Diversos cursos tem suas verbas desviadas para os próprios coordenadores e isso não é difícil de ver, enquanto outros são sucateados e esquecidos!  Vocês estão esperando uma sala com 0 alunos para mudar ou que todos os alunos cometam suicidio, como ja vem acontecendo?
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Letras;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo totalmente;Discordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Direito;Concordo totalmente;Discordo;Discordo;Discordo;Não sei / Não se aplica;Discordo;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não concordo nem discordo;Discordo;Discordo;Concordo;Discordo totalmente;Não concordo nem discordo;Discordo;Discordo;Discordo;Concordo totalmente;Concordo totalmente;Discordo;Discordo;Discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Comunicação Social;Não concordo nem discordo;Discordo;Discordo totalmente;Concordo;Não concordo nem discordo;Discordo;Discordo;Concordo;Concordo;Concordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Não concordo nem discordo;Não sei / Não se aplica;Discordo totalmente;Concordo;Discordo totalmente;Discordo;Discordo;Discordo;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Discordo;Concordo;
Pós-graduação (lato ou stricto sensu);UFJF - campus Juiz de Fora;Faculdade de Comunicação Social;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei / Não se aplica;Concordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo;Concordo totalmente;Concordo totalmente;Não concordo nem discordo;Concordo totalmente;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICB – Instituto de Ciências Biológicas;Concordo;Discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo;Concordo;Concordo;Discordo;Discordo totalmente;Concordo;Concordo;Discordo;Discordo totalmente;Discordo totalmente;Concordo;Concordo;Concordo;Não concordo nem discordo;Vale destacar a desigualdade entre o investimento nos demais cursos da Universidade, em relação ao curso de Medicina Veterinária. Em que não há um prédio próprio e o aluno gasta para se locomover para o centro da cidade, sendo um curso sem infraestrutura, e considerando que a Universidade Pública visa isentar o máximo de gastos do aluno aprovado (alimentação, estudo, TRANSPORTE). Somos deixados à deriva e a distribuição de recursos financeiros da UFJF não é tida em pé de igualdade nesse quesito.
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Outra;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICE – Instituto de Ciências Exatas;Não concordo nem discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Discordo totalmente;Discordo;Concordo;Discordo;Discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Maior espaço para o DCE dentro de decisões importantes da universidade
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICB – Instituto de Ciências Biológicas;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Não sei / Não se aplica;Concordo;Concordo;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Não sei / Não se aplica;Concordo;Concordo;Concordo;Concordo;Não sei / Não se aplica;Não concordo nem discordo;Concordo;Não concordo nem discordo;Concordo;Concordo;Discordo;Discordo;Concordo;Concordo;Não sei / Não se aplica;Concordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;IAD – Instituto de Artes e Design;Concordo;Não concordo nem discordo;Discordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Discordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Não concordo nem discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Odontologia;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo totalmente;Concordo;Concordo;Concordo;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Não concordo nem discordo;Discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;ICH – Instituto de Ciências Humanas;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Não concordo nem discordo;Discordo;Discordo;Discordo totalmente;Não sei / Não se aplica;Não sei / Não se aplica;Discordo totalmente;Concordo;Discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Discordo;Discordo totalmente;Equipamentos sem manutenção. Há equipamento danificado na Biblioteca do ICH (digitalizadora não funciona), havia problema no dia que fui utilizar um dos equipamentos na Biblioteca Central. Os porta-papel-toalha e porta-papel-higiênico danificados ou inexistentes em diversos banheiros do ICH.  Instalações: há uma vala sem grade de proteção próxima à Biblioteca do ICH. A escada que liga o ICH a Faculdade de Direito  está costumeiramente com mato invadindo os degraus, além de mato nas laterais (aluna foi atacada por cobra no local). Há bebedouro desativado na cantina do ICH. Há um buraco no teto da sala D-04 do ICH. Há uma cratera no asfalto na descida do ICH, próxima ao estacionamento da Faculdade de Comunicação. Ventiladores quebrados ,além de que em algumas salas do ICH têm apenas um. E são tão barulhentos que prejudicam a aula.
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Fisioterapia;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Discordo;Concordo;Concordo;Não concordo nem discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;
Graduação (presencial ou a distância);UFJF - campus Governador Valadares;ICV - Instituto de Ciências da Vida (Governador Valadares);Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Discordo;
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Direito;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo;Concordo;Concordo;Não concordo nem discordo;Concordo;Discordo;Concordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Não concordo nem discordo;Discordo;Não concordo nem discordo;Discordo;Discordo totalmente;Concordo;Concordo;Concordo;Não concordo nem discordo;A transparência das licitações é muito limitada pela acesso restrito e conturbado
Graduação (presencial ou a distância);UFJF - campus Juiz de Fora;Faculdade de Medicina;Discordo;Discordo;Concordo;Concordo;Não concordo nem discordo;Não concordo nem discordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Discordo;Discordo;Discordo;Concordo;Concordo;Discordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo;Não concordo nem discordo;Discordo;Discordo;Discordo;Não sei / Não se aplica;Não concordo nem discordo;
